"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"JEN",0.137254901960784,1,1.96078431372549,1,51,566,"Nigeria",2008,72,4.29045944114839
"JERAWA, CHAWAI (SW)",0.374485596707819,0.51440329218107,2.65432098765432,6,243,566,"Nigeria",2008,196,5.28320372873799
"JIBU",0.461538461538462,0,2.25,1,52,566,"Nigeria",2008,0,0
"JUKUN",0.498730964467005,0.370558375634518,2.3007614213198,16,788,566,"Nigeria",2008,162,5.09375020080676
"KADARA",0.973684210526316,0,2.60526315789474,1,38,566,"Nigeria",2008,196,5.28320372873799
"KAM",0.935483870967742,0,2.12903225806452,1,62,566,"Nigeria",2008,0,0
"KAMBERI",0.444444444444444,0.247474747474747,2.30808080808081,5,198,566,"Nigeria",2008,270,5.6021188208797
"KAMUKU",0.374100719424461,0,1.93525179856115,3,139,566,"Nigeria",2008,18,2.94443897916644
"KANURI",0.57037037037037,0.497530864197531,2.30123456790123,20,810,566,"Nigeria",2008,2195,7.69439280262942
"KAPSIKI",0.473214285714286,0,1.97321428571429,2,112,566,"Nigeria",2008,0,0
"KAREKARE",0.22,0.2,1.975,4,200,566,"Nigeria",2008,36,3.61091791264422
"KATAB",0.420382165605095,0,3.36942675159235,3,157,566,"Nigeria",2008,286,5.65948221575962
"KORO",0.031578947368421,0,4.76842105263158,2,95,566,"Nigeria",2008,72,4.29045944114839
"KOYAM",0.888888888888889,0,1.22222222222222,1,27,566,"Nigeria",2008,0,0
"KUKURUKU",0.274725274725275,0.315018315018315,3.73626373626374,7,273,566,"Nigeria",2008,541,6.29526600143965
"LONGUDA",0.384,0,1.736,3,125,566,"Nigeria",2008,0,0
"MADA",0.445820433436532,0,2.27554179566563,7,323,566,"Nigeria",2008,0,0
"MAGUZAWA",0.520061728395062,0.171296296296296,1.86574074074074,16,648,566,"Nigeria",2008,0,0
"MAMA",0.44,0,2.28,2,75,566,"Nigeria",2008,0,0
"MAMBILA",1,0,1.34,1,50,566,"Nigeria",2008,112,4.72738781871234
"MANDARA",0.948717948717949,0,1.15384615384615,1,39,566,"Nigeria",2008,0,0
"MANGA",0.632183908045977,0.195402298850575,1.22988505747126,5,174,566,"Nigeria",2008,74,4.31748811353631
"MARGI",0.4,0,1.38,1,50,566,"Nigeria",2008,0,0
"MATAKAM",0.276595744680851,0,2.80851063829787,1,47,566,"Nigeria",2008,0,0
"MBEMBE",0.702127659574468,0,2.51063829787234,1,47,566,"Nigeria",2008,18037,9.80023592272565
"MUMUYE",0.876712328767123,0,1.36301369863014,3,146,566,"Nigeria",2008,606,6.4085287910595
"NGE",0.292035398230088,0,2.9646017699115,3,113,566,"Nigeria",2008,0,0
"NGIZIM",0.580838323353293,0.251497005988024,1.63473053892216,4,167,566,"Nigeria",2008,36,3.61091791264422
"NUPE",0.583081570996979,0.108761329305136,2.99093655589124,8,331,566,"Nigeria",2008,58551,10.9776705272811
"ORRI",0.72972972972973,0.418918918918919,1.88513513513514,3,148,566,"Nigeria",2008,0,0
"RESHE",0.285714285714286,0,2.53061224489796,1,49,566,"Nigeria",2008,0,0
"SHUWA",0.878787878787879,0,1,1,33,566,"Nigeria",2008,0,0
"SOKOTO",0.291034482758621,0.195862068965517,2.19862068965517,18,725,566,"Nigeria",2008,0,0
"TANGALE",0.476839237057221,0.111716621253406,1.97275204359673,9,367,566,"Nigeria",2008,0,0
"TERA",0.478764478764479,0.166023166023166,2.16602316602317,6,259,566,"Nigeria",2008,0,0
"TIENGA",0.547619047619047,0,1.30952380952381,1,42,566,"Nigeria",2008,0,0
"TIGON",1,0,1.45833333333333,1,48,566,"Nigeria",2008,0,0
"TIV",0.439655172413793,0.245689655172414,2.31609195402299,19,696,566,"Nigeria",2008,361,5.89164421182577
"VERE",0.368421052631579,0.240601503759398,2.38345864661654,4,133,566,"Nigeria",2008,0,0
"WAKURA",0.59375,0,1.21875,1,32,566,"Nigeria",2008,0,0
"WARJAWA",0.349462365591398,0,1.53763440860215,4,186,566,"Nigeria",2008,0,0
"WURKUM",0.86,0,1.08,1,50,566,"Nigeria",2008,0,0
"YAKO",0.343558282208589,0,2.77914110429448,5,163,566,"Nigeria",2008,126,4.84418708645859
"YERGUM",0.402843601895734,0.194312796208531,2.52132701421801,4,211,566,"Nigeria",2008,0,0
"YESKWA",0.535714285714285,0,2.48469387755102,4,196,566,"Nigeria",2008,90,4.51085950651685
"YORUBA",0.258320914058619,0.512667660208644,3.60755091902633,61,2013,566,"Nigeria",2008,665966,13.4089953987454
"YUNGUR",0.0555555555555555,1,3.80555555555555,1,36,566,"Nigeria",2008,0,0
"ZUANDE, BATU (E)",0.217391304347826,0,2.71014492753624,1,69,566,"Nigeria",2008,0,0
"ZUMPER",0.783185840707965,0,2.17699115044248,5,226,566,"Nigeria",2008,126,4.84418708645859
"AUSHI",0.331360946745562,0.568047337278107,3.34023668639053,29,676,894,"Zambia",2013,0,0
"BEMBA",0.344186046511628,0.511627906976744,3.18953488372093,39,860,894,"Zambia",2013,3045,8.02158453345511
"BISA",0.258741258741259,0.734265734265734,3.47552447552448,6,143,894,"Zambia",2013,12743,9.45281585158988
"CHEWA",0.319767441860465,0.668604651162791,3.34883720930233,8,172,894,"Zambia",2013,9129,9.11932097358901
"ILA",0.339350180505415,0.530685920577617,3.1841155234657,12,277,894,"Zambia",2013,0,0
"IWA",0.494464944649447,0.265682656826568,2.69741697416974,11,271,894,"Zambia",2013,0,0
"KAONDE",0.314387211367673,0.47246891651865,3.11190053285968,25,563,894,"Zambia",2013,2814,7.94271754057379
"KUNDA",0.222614840989399,0.547703180212014,3.51943462897527,13,283,894,"Zambia",2013,0,0
"LALA",0.506849315068493,0.150684931506849,2.83561643835616,6,146,894,"Zambia",2013,1490,7.30720231476474
"LAMBA",0.389065479974571,0.466624284806103,3.15766052129689,71,1573,894,"Zambia",2013,563,6.33505425149806
"LAMBYA",0.388888888888889,0.583333333333333,2.63888888888889,2,36,894,"Zambia",2013,0,0
"LENJE",0.395492957746479,0.48169014084507,3.1087323943662,79,1775,894,"Zambia",2013,0,0
"LOZI",0.445300462249615,0.278890600924499,2.74114021571649,30,649,894,"Zambia",2013,0,0
"LUAPULA",0.33695652173913,0.554347826086957,3.1820652173913,16,368,894,"Zambia",2013,0,0
"LUKOKWE",0.333333333333333,0.580246913580247,2.7037037037037,4,81,894,"Zambia",2013,0,0
"LUNGU",0.448529411764706,0.544117647058823,3.13970588235294,12,272,894,"Zambia",2013,0,0
"LUVALE",0.658536585365854,0.219512195121951,2.74390243902439,4,82,894,"Zambia",2013,1376,7.22766249872865
"MASHASHA",0.212765957446809,1,4.25531914893617,2,47,894,"Zambia",2013,0,0
"MASHI",0.508064516129032,0.403225806451613,2.56451612903226,5,124,894,"Zambia",2013,0,0
"MBUNDA",0.428571428571428,1,4.74285714285714,1,35,894,"Zambia",2013,0,0
"MOMBERA",0.467741935483871,0.25,2.26612903225806,6,124,894,"Zambia",2013,0,0
"MPEZENI",0.333958724202627,0.446529080675422,3.27579737335835,21,533,894,"Zambia",2013,0,0
"NDEMBU",0.4,0.654545454545455,3.25,11,220,894,"Zambia",2013,393,5.97635090929793
"NKOYA",0.590551181102362,0,2.32283464566929,6,127,894,"Zambia",2013,0,0
"NSENGA",0.220973782771536,0.662921348314607,3.44943820224719,12,267,894,"Zambia",2013,86,4.46590811865458
"SENGA",0.392592592592593,0.17037037037037,2.85185185185185,6,135,894,"Zambia",2013,2872,7.96311205897929
"SHILA",0.54,0,1.82,2,50,894,"Zambia",2013,0,0
"SUBIA",0.328467153284672,0.397810218978102,3.30656934306569,12,274,894,"Zambia",2013,0,0
"TABWA",0.409420289855072,0.467391304347826,3.1231884057971,13,276,894,"Zambia",2013,0,0
"TONGA",0.358119658119658,0.605128205128205,3.24188034188034,48,1170,894,"Zambia",2013,261,5.5683445037611
"TOTELA",0.530864197530864,0.45679012345679,3.46913580246914,3,81,894,"Zambia",2013,0,0
"TUMBUKA",0.533333333333333,0.522222222222222,3.05555555555555,4,90,894,"Zambia",2013,12271,9.41507552360704
"UNGA",0.393617021276596,0.521276595744681,2.85106382978723,4,94,894,"Zambia",2013,0,0
"GANDA",0.52514539856312,0.21861101607937,3.33903523776941,130,2923,800,"Uganda",2006,4356,8.37953902611744
"GISU",0.693811074918567,0,2.92508143322476,13,307,800,"Uganda",2006,0,0
"LANGO",0.369565217391304,0,1.76086956521739,2,46,800,"Uganda",2006,0,0
"NYORO",0.619047619047619,0,3.28571428571428,1,21,800,"Uganda",2006,0,0
"SABEI",0.964285714285714,0,2.82142857142857,1,28,800,"Uganda",2006,0,0
"SOGA",0.570354457572503,0.0171858216970999,2.33834586466165,40,931,800,"Uganda",2006,174,5.16478597392351
"TESO",0.375,0,1.63541666666667,4,96,800,"Uganda",2006,0,0
"WANGA",0.790123456790123,0,3.2962962962963,3,81,800,"Uganda",2006,847,6.7428806357919
"ADAMAWA",0.28735632183908,0.295977011494253,2.26293103448276,29,696,120,"Cameroon",2004,0,0
"ANYANG",0.717391304347826,0,2.26086956521739,2,46,120,"Cameroon",2004,9431,9.15186344221721
"BAMILEKE",0.319682959048877,0.439894319682959,3.21268163804491,28,757,120,"Cameroon",2004,753,6.62539236800796
"BAYA",0.331632653061225,0.438775510204082,2.47959183673469,10,196,120,"Cameroon",2004,0,0
"DAMA",0.413793103448276,0,1.10344827586207,1,29,120,"Cameroon",2004,0,0
"DUALA",0.267441860465116,0.949612403100775,4.42732558139535,47,1032,120,"Cameroon",2004,5417,8.59748202264504
"DZEM",0.382352941176471,0,2.05882352941176,2,34,120,"Cameroon",2004,0,0
"FALI",0.636363636363636,0.267045454545455,1.69886363636364,5,176,120,"Cameroon",2004,0,0
"FANG",0.434065934065934,0.629370629370629,3.78271728271728,93,2002,120,"Cameroon",2004,1860,7.52886925664225
"FIA",0.436781609195402,0.134099616858238,2.97318007662835,9,261,120,"Cameroon",2004,188,5.24174701505964
"FUT",0.0796019900497512,0.417910447761194,3.50248756218905,7,201,120,"Cameroon",2004,94,4.55387689160054
"GALIM",0.380952380952381,1,4.0952380952381,1,21,120,"Cameroon",2004,0,0
"GISIGA",0.637931034482759,0.475862068965517,2.51724137931034,9,290,120,"Cameroon",2004,0,0
"GUDE",0.610169491525424,0,1.78813559322034,4,118,120,"Cameroon",2004,12613,9.4425625872236
"KAKA",0.460431654676259,0.294964028776978,2.30935251798561,8,139,120,"Cameroon",2004,2259,7.72312009226633
"KAPSIKI",0.957446808510638,0,1.21276595744681,3,47,120,"Cameroon",2004,0,0
"KEPERE",0.151515151515152,1,4.72727272727273,1,33,120,"Cameroon",2004,0,0
"KOKO",0.536480686695279,0.124463519313305,3.07725321888412,11,233,120,"Cameroon",2004,3153,8.05642676752298
"KOM",0.493333333333333,0.2,2.01333333333333,6,150,120,"Cameroon",2004,0,0
"KOSSI",0.226110363391655,0.674293405114401,3.23687752355316,32,743,120,"Cameroon",2004,282,5.64544689764324
"KOTOKO",1,0,1.6,1,10,120,"Cameroon",2004,0,0
"KOTOPO",1,0,1.5,1,18,120,"Cameroon",2004,0,0
"KPE",0.236263736263736,0.557692307692308,4.21703296703297,17,364,120,"Cameroon",2004,188,5.24174701505964
"KUNDU",0.397727272727273,0.556818181818182,3.46212121212121,12,264,120,"Cameroon",2004,1224,7.11069612297883
"LAKA (ADAMAWA",0.430555555555555,0.319444444444444,2.01388888888889,3,72,120,"Cameroon",2004,0,0
