"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"MADA",0.671826625386997,0,2.27554179566563,7,323,566,"Nigeria",2008,0,0
"MAGUZAWA",0.635802469135803,0.171296296296296,1.86574074074074,16,648,566,"Nigeria",2008,0,0
"MAMA",0.826666666666667,0,2.28,2,75,566,"Nigeria",2008,0,0
"MAMBILA",1,0,1.34,1,50,566,"Nigeria",2008,112,4.72738781871234
"MANDARA",0.95,0,1.15,1,40,566,"Nigeria",2008,0,0
"MANGA",0.5,0.195402298850575,1.22988505747126,5,174,566,"Nigeria",2008,74,4.31748811353631
"MARGI",0.62,0,1.38,1,50,566,"Nigeria",2008,0,0
"MATAKAM",0.74468085106383,0,2.80851063829787,1,47,566,"Nigeria",2008,0,0
"MBEMBE",0.854166666666667,0,2.52083333333334,1,48,566,"Nigeria",2008,18037,9.80023592272565
"MUMUYE",0.856164383561644,0,1.36301369863014,3,146,566,"Nigeria",2008,606,6.4085287910595
"NGE",0.539823008849557,0,2.9646017699115,3,113,566,"Nigeria",2008,0,0
"NGIZIM",0.580838323353293,0.251497005988024,1.63473053892216,4,167,566,"Nigeria",2008,36,3.61091791264422
"NUPE",0.709969788519638,0.108761329305136,2.99093655589124,8,331,566,"Nigeria",2008,58551,10.9776705272811
"ORRI",0.878378378378378,0.418918918918919,1.88513513513514,3,148,566,"Nigeria",2008,0,0
"RESHE",0.653061224489796,0,2.53061224489796,1,49,566,"Nigeria",2008,0,0
"SHUWA",0.878787878787879,0,1,1,33,566,"Nigeria",2008,0,0
"SOKOTO",0.65474552957359,0.196698762035763,2.20082530949106,18,727,566,"Nigeria",2008,0,0
"TANGALE",0.457765667574932,0.111716621253406,1.97275204359673,9,367,566,"Nigeria",2008,0,0
"TERA",0.553846153846154,0.169230769230769,2.16538461538462,6,260,566,"Nigeria",2008,0,0
"TIENGA",0.804878048780488,0,1.31707317073171,1,41,566,"Nigeria",2008,0,0
"TIGON",0.895833333333333,0,1.45833333333333,1,48,566,"Nigeria",2008,0,0
"TIV",0.800287356321839,0.245689655172414,2.31609195402299,19,696,566,"Nigeria",2008,361,5.89164421182577
"VERE",0.571428571428571,0.24812030075188,2.37593984962406,4,133,566,"Nigeria",2008,0,0
