"Country","Variable","Mean","SD","Min","Max","N_ethnic_homelands"
"Cameroon","ln_total_exports",2.85498406052357,3.62260741420852,0,10.7956700010663,68
"Zambia","ln_total_exports",2.4665319188472,3.64661817304761,0,9.45281585158988,36
