"analysis_var","n_ethnic_groups","linear_exports_estimate","linear_exports_se","linear_exports_p","linear_urban_estimate","linear_urban_se","linear_urban_p","fractional_exports_estimate","fractional_exports_se","fractional_exports_p"
"bhcdistance",31,-0.0082974335432995,0.00497815245123938,0.106709389710998,-0.621565697417917,0.0858827442547048,7.05024599124386e-08,-0.00948806400026927,0.0337993072036026,0.780919961322616
"bhcnodrug",31,0.00148467677378623,0.00521551497341722,0.777995330142369,-0.16224586760884,0.0899769257144483,0.0821300367307442,0.0125299874611733,0.021956338923454,0.572614165173854
"bhcnofemdr",31,0.0035305649523998,0.0025566638083845,0.178225015535213,-0.04802699903061,0.0441131910652938,0.285558890478361,0.0383463579725209,0.0241966800274935,0.123862582450381
"bhcnoprov",31,0.00363117412512796,0.00521832415138747,0.492258227453292,-0.0905739162116611,0.0900307483587785,0.323015042466127,0.0216315042845771,0.0248940832952958,0.392014010921269
"bhcpermit",31,0.000127339572959101,0.00162104983176098,0.937946268106699,-0.0522065626695968,0.0280049273551053,0.0728109527873545,0.0178032444933402,0.0477492293022027,0.711972314249587
"bhctaketran",31,-0.00894832262901486,0.00502016540847116,0.0855193408691809,-0.628549274130215,0.086614258323888,6.70640587874002e-08,-0.0122356411743198,0.0348883643626477,0.72834202410781
