"Variable","Description","Mean","SD","Min","Max"
"ln_total_exports","Logged historical slave exports by ethnic homeland",2.85498406052357,3.62260741420852,0,10.7956700010663
"bhcatthw","Bad attitude of healthcare worker barrier",0.327263529152822,0.136345589212451,0,0.659090909090909
"bhcnodrug","Lack of medicine barrier",0.406668328430123,0.136364340240037,0.0666666666666667,0.703703703703704
"bhcnoprov","Lack of provider barrier",0.284285408580722,0.136994813578679,0,0.555555555555556
"bhcnofemdr","Lack of female doctor barrier",0.108521663704851,0.0700814876054183,0,0.407407407407407
"bhcdistance","Distance barrier to healthcare",0.365969232773067,0.156636216004298,0,0.857142857142857
"bhcpermit","Permission barrier",0.0313722034888069,0.0358215301990992,0,0.222222222222222
"bhctaketran","Transportation barrier",0.348737136900394,0.143758687649351,0,0.80952380952381
"bhcalone","Not wanting to go alone barrier",0.168563274561693,0.0858747153676673,0,0.431818181818182
